PDXmodel,Passage,MedianMutationFrequency
ME13994P0,0,42.55
LU5369P0,0,44.5
HN5120P0,0,45.5
BN10438P0,0,45.85
CR2848P0,0,46.1
CR11482P0,0,46.2
SA4128P0,0,46.3
LU1419P0,0,46.5
LU11561P0,0,46.8
LU2804P0,0,46.85
CR15770P0,0,46.95
BR5337P0,0,47.2
CR15701P0,0,47.3
SA16050P0,0,47.35
CR15138P0,0,47.6
BN4045P0,0,47.65
CR3819P0,0,47.65
CR15630P0,0,47.75
SA4109P0,0,47.9
CR3253P0,0,48
SA13127P0,0,48.05
ME13974P0,0,48.1
ME14000P0,0,48.1
SA4196P0,0,48.1
PA13026P0,0,48.2
HN3588P0,0,48.25
SA3847P0,0,48.25
PA1226P0,0,48.3
UT3618P0,0,48.3
HN2488P0,0,48.35
BL5003P0,0,48.4
BL5420P0,0,48.4
CR11370P0,0,48.4
CR15610P0,0,48.4
GA13739P0,0,48.4
OV15841P0,0,48.4
CR14931P0,0,48.5
SA16052P0,0,48.6
SA4144P0,0,48.8
SA4148P0,0,49
CR2506P0,0,49.2
ME13983P0,0,49.5
SA4138P0,0,51.6
ME12179P1,1,37.25
ME5281P1,1,40.3
ES10084P1,1,42
ES11069P1,1,42.3
BL5007P1,1,42.4
ME12049P1,1,42.6
ES11061P1,1,42.9
LU13944P1,1,43.2
ME12056P1,1,43.2
ES11062P1,1,43.45
MU12506P1,1,43.75
ES11085P1,1,44.1
OV5296P1,1,44.15
ME12111P1,1,44.3
ES3892P1,1,44.5
HN3472P1,1,44.6
BR5380P1,1,44.7
ME12217P1,1,44.9
CR15091P1,1,45
LU5371P1,1,45
SA16044P1,1,45
ME12131P1,1,45.1
BR5494P1,1,45.2
SA16055P1,1,45.25
ME12182P1,1,45.3
BL5422P1,1,45.4
ME12164P1,1,45.4
SA4060P1,1,45.55
ME12077P1,1,45.6
ME12096P1,1,45.6
SA10941P1,1,45.6
ES11091P1,1,45.7
SA13455P1,1,45.7
CR2394P1,1,45.75
ME12207P1,1,45.8
ME12080P1,1,45.9
PA5404P1,1,45.95
CR14777P1,1,46
ME12167P1,1,46.05
BR5013P1,1,46.1
ME12042P1,1,46.1
ME12113P1,1,46.1
MU12582P1,1,46.1
OV14661P1,1,46.1
ES11082P1,1,46.2
MU12666P1,1,46.2
LU11815P1,1,46.3
SA10174P1,1,46.3
LU11882P1,1,46.4
ME13989P1,1,46.4
CR3078P1,1,46.5
ME11972P1,1,46.5
ME12148P1,1,46.5
LU11553P1,1,46.55
LU11586P1,1,46.55
LU11685P1,1,46.55
ME12088P1,1,46.6
KI10105P1,1,46.65
SA10151P1,1,46.7
ES11086P1,1,46.8
ES3910P1,1,46.8
ME12000P1,1,46.8
ME12147P1,1,46.8
MU12778P1,1,46.9
LU11714P1,1,46.95
ME12094P1,1,46.95
LU11612P1,1,47
LU11671P1,1,47
LU11953P1,1,47
ME12062P1,1,47
ME12138P1,1,47
BR10539P1,1,47.1
LU11606P1,1,47.1
LU14020P1,1,47.1
ME12081P1,1,47.1
SA12961P1,1,47.1
ME12127P1,1,47.15
BL5384P1,1,47.2
LU11554P1,1,47.2
ME12006P1,1,47.2
ME12071P1,1,47.2
ME12093P1,1,47.2
ME12136P1,1,47.2
ME12183P1,1,47.2
CV10909P1,1,47.3
KI10106P1,1,47.3
LU11670P1,1,47.3
ME13993P1,1,47.3
GA13775P1,1,47.4
KI2367P1,1,47.4
LU11942P1,1,47.4
LU11949P1,1,47.4
ME12035P1,1,47.4
ME12050P1,1,47.4
ME12223P1,1,47.4
ES11072P1,1,47.45
OV15631P1,1,47.45
CR4004P1,1,47.5
LU11713P1,1,47.5
LU5409P1,1,47.5
ME12149P1,1,47.5
ME12156P1,1,47.5
MU12659P1,1,47.5
SA4134P1,1,47.5
LU11631P1,1,47.55
LU11951P1,1,47.55
BL2393P1,1,47.6
CR14912P1,1,47.6
ME12016P1,1,47.6
ME12064P1,1,47.6
ME12212P1,1,47.6
ME3591P1,1,47.6
CR0024P1,1,47.65
CV10946P1,1,47.65
ME11985P1,1,47.65
CR5083P1,1,47.7
LY12962P1,1,47.7
ME11995P1,1,47.7
