TestModel,Mouseratio,DuplicateModel,Vendor,TestModel2,Cancer,TumorPurity
GA13744-R1P5-20200526-46009,66.86,GA13744,NOD/SCID;,GA13744,GA,33.14
ES3893-R1P1-20160830-25887-20210608,52.38,ES3893,NOD/SCID;,ES3893,ES,47.62
SA4247-R2P2-20210302-16641-20210511,41.47,SA4247,NOD/SCID;,SA4247,SA,58.53
SA4247-R2P1-20201119-R-17304-20210309,28.78,SA4247,NOD/SCID;,SA4247,SA,71.22
ES3911-R1P2-31178,10.53,ES3911,NOD/SCID;,ES3911,ES,89.47
SA4235-R2P2-20200227-43227,23.72,SA4235,NOD/SCID;,SA4235,SA,76.28
LU5351-R4P6-52342-20201103,13.14,LU5351,NOD/SCID;,LU5351,LU,86.86
LI11484-R1P1-80195-RF,7.49,LI11484,NOD/SCID;,LI11484,LI,92.51
CR0560-R10P4-99684-20210615-Machine,24.03,CR0560,NOD/SCID;,CR0560,CR,75.97
BN10371-R1P0-75410-RF,31.39,BN10371,NOD/SCID;,BN10371,BN,68.61
CV10071-R1P0-85150-20210601,19.07,CV10071,NOD/SCID;,CV10071,CV,80.93
CV10071-R1P2-89186-20210601,20.33,CV10071,NOD/SCID;,CV10071,CV,79.67
CR0560-R10P4-99684-20210615,23.5,CR0560,NOD/SCID;,CR0560,CR,76.5
SA4247-R1P0-20181211-20400-20200929,51.01,SA4247,NOD/SCID;,SA4247,SA,48.99
CV10071-R1P0-85149,15.38,CV10071,NOD/SCID;,CV10071,CV,84.62
CV10071-R1P1-88670,22.07,CV10071,NOD/SCID;,CV10071,CV,77.93
SA4258-R2P2-20210126-23925-20210316,1.6,SA4258,NOD/SCID;,SA4258,SA,98.4
SA13202-R1P0-20180711-12881,41.81,SA13202,NOD/SCID;,SA13202,SA,58.19
CV10258-R1P4-93239,5.22,CV10258,NOD/SCID;,CV10258,CV,94.78
GA13797-R1P4-20200107-40862-20200901,9.14,GA13797,NOD/SCID;,GA13797,GA,90.86
GA13797-R1P5-20200303-43121,11.14,GA13797,NOD/SCID;,GA13797,GA,88.86
SA4235-R2P1-20191120-R-37820,13.95,SA4235,NOD/SCID;,SA4235,SA,86.05
SA4238-R2P2-20210119-25883-20210323,3.24,SA4238,NOD/SCID;,SA4238,SA,96.76
BR10014-R1P4-20181023-82306-20200915,19.04,BR10014,NOD/SCID;,BR10014,BR,80.96
CR5082-R4P5-29649-20210420,39.74,CR5082,NOD/SCID;,CR5082,CR,60.26
SA4247-R1P0-20181211-20396-20201110,40.04,SA4247,NOD/SCID;,SA4247,SA,59.96
SA4264-R1P0-20190620-22665-20210601,22.02,SA4264,NOD/SCID;,SA4264,SA,77.98
LU20004-R1P1-98491-20201110,68.73,LU20004,NOD/SCID;,LU20004,LU,31.27
GA13797-R1P5-20200303-43119-20200901,12.42,GA13797,NOD/SCID;,GA13797,GA,87.58
CV10258-R1P1-89093,7.22,CV10258,NOD/SCID;,CV10258,CV,92.78
PE16940-R1P2-53415-20210316,5.72,PE16940,NOD/SCID;,PE16940,PE,94.28
CV10069-R1P4-92954-20210601,8.74,CV10069,NOD/SCID;,CV10069,CV,91.26
SA4262-R1P8-50740-20201013,11.53,SA4262,NOD/SCID;,SA4262,SA,88.47
LU11573-R1P4-20200609-46706-20200819,19,LU11573,NOD/SCID;,LU11573,LU,81
SA4264-R1P3-20200421-44448,49.28,SA4264,NOD/SCID;,SA4264,SA,50.72
CR5082-R4P5-29646-20210511,18.25,CR5082,NOD/SCID;,CR5082,CR,81.75
PR9587-R1P2-98751-20201124,25.01,PR9587,NOD/SCID;,PR9587,PR,74.99
CR5100-R1P8-93078,15.42,CR5100,NOD/SCID;,CR5100,CR,84.58
CR5100-R1P7-92627,9.88,CR5100,NOD/SCID;,CR5100,CR,90.12
CR5100-R1P6-91014,15.28,CR5100,NOD/SCID;,CR5100,CR,84.72
GA13750-R1P1-82431-RB,16.25,GA13750,NOD/SCID;,GA13750,GA,83.75
FT15176-R1P3-20201124-17685-20210615,4.45,FT15176,NOD/SCID;,FT15176,FT,95.55
BR10670-R1P6-20210316-22089-20210511,8.34,BR10670,NOD/SCID;,BR10670,BR,91.66
SA4123-R1P1-20180208-46236-20210330,45.18,SA4123,NOD/SCID;,SA4123,SA,54.82
OV15919-R1P6-51175-20201103,6.71,OV15919,NOD/SCID;,OV15919,OV,93.29
PA2924-R1P2-87619-20201208,22.68,PA2924,NOD/SCID;,PA2924,PA,77.32
SA3829-R4P3-20171128-44712,10.9,SA3829,NOD/SCID;,SA3829,SA,89.1
CR9250-R1P4-16794-RF,15.17,CR9250,NOD/SCID;,CR9250,CR,84.83
LI2893-R3P2-90050,6.86,LI2893,NOD/SCID;,LI2893,LI,93.14
GL11315-R1P5-51490-20210223,20.23,GL11315,NOD/SCID;,GL11315,GL,79.77
LU9355-R3P7-98621-20201013,25.7,LU9355,NOD/SCID;,LU9355,LU,74.3
CR15726-R1P2-20190910-33542-20210223,4.82,CR15726,NOD/SCID;,CR15726,CR,95.18
PA3060-R8P1-2020804-R-11526-20201020,79.86,PA3060,NOD/SCID;,PA3060,PA,20.14
SA4258-R2P1-20201119-R-17357-20210202,3.38,SA4258,NOD/SCID;,SA4258,SA,96.62
PA13007-R1P0-20200701-13629-20210518,44.61,PA13007,NOD/SCID;,PA13007,PA,55.39
SA4258-R1P0-20190522-24494,6.02,SA4258,NOD/SCID;,SA4258,SA,93.98
CR15287-R1P3-20190929-33873-20210223,2.31,CR15287,NOD/SCID;,CR15287,CR,97.69
SA3829-R8P5-20210421-R-21302-20210622,3.57,SA3829,NOD/SCID;,SA3829,SA,96.43
LU20004-R1P2-53862-20210413,74.55,LU20004,NOD/SCID;,LU20004,LU,25.45
LU5406-R2P3-20190626-22472,42.31,LU5406,NOD/SCID;,LU5406,LU,57.69
LU5406-P2-MS-146-20190515-2004091148,45.19,LU5406,NOD/SCID;,LU5406,LU,54.81
GA13750-R2P4-94812,9.96,GA13750,NOD/SCID;,GA13750,GA,90.04
GA13750-R1P0-77641-RF,18.72,GA13750,NOD/SCID;,GA13750,GA,81.28
GL11315-R1P5-54886-20201020,28.76,GL11315,NOD/SCID;,GL11315,GL,71.24
LU5406-R2P4-23751,43.88,LU5406,NOD/SCID;,LU5406,LU,56.12
SA3224-R10P2-12886-20210601,48.31,SA3224,NOD/SCID;,SA3224,SA,51.69
OV0273-R20P7-20210113-R-23343-20210323,10.16,OV0273,NOD/SCID;,OV0273,OV,89.84
LU5406-P2-MS-150-20190515-2004091148,55.56,LU5406,NOD/SCID;,LU5406,LU,44.44
LU5251-R3P5-98988-20200818,47.64,LU5251,NOD/SCID;,LU5251,LU,52.36
SA4256-R1P6-20210202-23926-20210622,18.25,SA4256,NOD/SCID;,SA4256,SA,81.75
ES0190-R16P1-99511-99514-20201020,24.82,ES0190,NOD/SCID;,ES0190,ES,75.18
SA4251-R1P0-20181217-20483-20201110,43.5,SA4251,NOD/SCID;,SA4251,SA,56.5
SA4256-R1P1-20190808-31351-20201124,7.78,SA4256,NOD/SCID;,SA4256,SA,92.22
LY12962-R2P3-20200805-52135-20210525,5.38,LY12962,NOD/SCID;,LY12962,LY,94.62
SA3829-R7P4-20200603-R-46115,5.93,SA3829,NOD/SCID;,SA3829,SA,94.07
SA4162-R2P2-20201111-R-19860-20210105,5.22,SA4162,NOD/SCID;,SA4162,SA,94.78
PA2924-R1P1-84985-20201208,28.35,PA2924,NOD/SCID;,PA2924,PA,71.65
LU11573-R1P5-20200821-11628-20202027,23.35,LU11573,NOD/SCID;,LU11573,LU,76.65
FT15176-R1P3-20201124-17685-20210615-Machine,4.61,FT15176,NOD/SCID;,FT15176,FT,95.39
CV10923-R1P2-52941-20210316,50.53,CV10923,NOD/SCID;,CV10923,CV,49.47
OV9422-R1P5-20180621-12503-20201229,36.63,OV9422,NOD/SCID;,OV9422,OV,63.37
CR9507-R1P4-20200714-98734-20201229,23.09,CR9507,NOD/SCID;,CR9507,CR,76.91
SA4247-R1P1-30686,50.48,SA4247,NOD/SCID;,SA4247,SA,49.52
ME12094-R1P4-20170606-39961-20170802,2.03,ME12094,NOD/SCID;,ME12094,ME,97.97
CR9507-R2P5-20201223-R-31377-20210302,19.52,CR9507,NOD/SCID;,CR9507,CR,80.48
CR6222-R7P3-20190428-R-21555-20210413,16.91,CR6222,NOD/SCID;,CR6222,CR,83.09
GL2861-R1P0-71637-RF,40.95,GL2861,NOD/SCID;,GL2861,GL,59.05
PA2924-R1P8-93040,25.58,PA2924,NOD/SCID;,PA2924,PA,74.42
SA4123-R1P0-41032-RB,38.53,SA4123,NOD/SCID;,SA4123,SA,61.47
CV10923-R1P1-98747-20201013,54.15,CV10923,NOD/SCID;,CV10923,CV,45.85
PA13007-R1P2-20201110-19534-20201222,12.48,PA13007,NOD/SCID;,PA13007,PA,87.52
PA2924-R2P3-54946-20210202,43.81,PA2924,NOD/SCID;,PA2924,PA,56.19
CR9507-R1P3-97406-202106015,15.43,CR9507,NOD/SCID;,CR9507,CR,84.57
SA4262-R2P2-20201125-R-17660-20210126,8.58,SA4262,NOD/SCID;,SA4262,SA,91.42
LI4100-R1P1-20170817-40139-20201215,7.43,LI4100,NOD/SCID;,LI4100,LI,92.57
SA4258-R1P0-20190522-24492-20201124,3.77,SA4258,NOD/SCID;,SA4258,SA,96.23
LU2805-R1P0-6224-20201208,13.84,LU2805,NOD/SCID;,LU2805,LU,86.16
LU2071-R1P4-80772,33.81,LU2071,NOD/SCID;,LU2071,LU,66.19
CR2845-R1P0-69195-20201208,10.87,CR2845,NOD/SCID;,CR2845,CR,89.13
SA4142-R2P2-20201111-R-19843-20210105,83.31,SA4142,NOD/SCID;,SA4142,SA,16.69
LU5215-R2P2-20161221-0441,12.66,LU5215,NOD/SCID;,LU5215,LU,87.34
SA10225-R2P3-9874,13.22,SA10225,NOD/SCID;,SA10225,SA,86.78
PR9587-R1P2-98755-20210511,18.33,PR9587,NOD/SCID;,PR9587,PR,81.67
GA13752-R1P4-51450-20210316,20.17,GA13752,NOD/SCID;,GA13752,GA,79.83
ES3901-R2P7-20200114-19261-20210601,16.23,ES3901,NOD/SCID;,ES3901,ES,83.77
AL5727-P2-20190806-31377,59.71,AL5727,NOD/SCID;,AL5727,AL,40.29
LU11894-R2P5-93215,14.5,LU11894,NOD/SCID;,LU11894,LU,85.5
BR10014-R1P3-79374,14.28,BR10014,NOD/SCID;,BR10014,BR,85.72
CR9507-R1P5-51301-20201103,14.21,CR9507,NOD/SCID;,CR9507,CR,85.79
PR9587-R1P4-54144-20210223,16.57,PR9587,NOD/SCID;,PR9587,PR,83.43
ME11987-R1P4-40857,3.18,ME11987,NOD/SCID;,ME11987,ME,96.82
LU5162-R1P4-25725,66.79,LU5162,NOD/SCID;,LU5162,LU,33.21
SA4162-R1P1-20180322-48231-20201117,8.67,SA4162,NOD/SCID;,SA4162,SA,91.33
SA4258-R1P0-20190522-24493-20200929,10.18,SA4258,NOD/SCID;,SA4258,SA,89.82
LU9355-R3P5-94740-20210223,42.2,LU9355,NOD/SCID;,LU9355,LU,57.8
SA13226-R1P0-78765-RF,36.01,SA13226,NOD/SCID;,SA13226,SA,63.99
SK12230-R2P3-96596,3.9,SK12230,NOD/SCID;,SK12230,SK,96.1
SA4264-R2P2-20201125-R-17654-20210309,37.15,SA4264,NOD/SCID;,SA4264,SA,62.85
OV9422-R2P6-31609-20210223,22.31,OV9422,NOD/SCID;,OV9422,OV,77.69
PE17252-R1P3-54014-20210126,12.24,PE17252,NOD/SCID;,PE17252,PE,87.76
CV10069-R1P4-92953,18.99,CV10069,NOD/SCID;,CV10069,CV,81.01
CV10069-R1P3-91540,9,CV10069,NOD/SCID;,CV10069,CV,91
PE16925-R1P2-98771-20200929,39.83,PE16925,NOD/SCID;,PE16925,PE,60.17
CR9249-R2P5-20200806-11044-20200908,18.91,CR9249,NOD/SCID;,CR9249,CR,81.09
ME9389-R1P2-49685-RF,19.95,ME9389,NOD/SCID;,ME9389,ME,80.05
CV10258-R1P0-85174,4.88,CV10258,NOD/SCID;,CV10258,CV,95.12
