NAME	StromalScore	ImmuneScore	ESTIMATEScore
LU5180P2	-3279.607967	-2364.768904	-5644.376871
SA13276P4	242.8978068	-914.1911861	-671.2933793
ME12035P1	-1885.665169	-1271.814881	-3157.48005
LU6904P6	-2903.196072	-998.4753794	-3901.671452
SA13389P0	-1298.556448	-979.7036806	-2278.260128
HN1420P5	-2942.836162	-1387.186458	-4330.02262
CR5376P0	-2893.681513	-1020.913086	-3914.594599
HN3067P5	-2822.436397	-1198.645483	-4021.081879
OV1272P4	-2759.583794	-906.6735258	-3666.25732
CR3348P8	-2900.422749	-1263.827997	-4164.250746
AL7188P1	-1790.210483	1839.201871	48.99138786
LU5176P1	-2672.340775	-1448.9385	-4121.279275
PA3149P3	-2742.097836	-790.7377857	-3532.835622
PA3023P4	-3054.482332	-883.1255565	-3937.607889
LU5240P0	-2850.059772	-893.6437022	-3743.703474
BL5001P1	-3051.003275	-1249.432587	-4300.435862
CR2060P7	-3096.11369	-824.2885453	-3920.402235
SA5273P2	-1646.51581	-494.3199281	-2140.835739
HN5122P2	-2748.436722	-1076.904896	-3825.341618
BL5428P0	-3004.397509	-1912.426424	-4916.823933
CR5083P1	-2924.480189	-1060.05973	-3984.53992
LI6628P7	-2497.077452	-793.7264976	-3290.80395
SA10175P0	-1589.251009	-1922.460758	-3511.711766
CR4004P1	-2988.818795	-988.4134785	-3977.232274
PA6263P7	-2930.975201	-973.3899981	-3904.365199
ME14001P1	-2222.151347	-1689.530483	-3911.68183
LU5245P1	-2790.267742	-1035.769799	-3826.037541
CR0146P4	-3060.820569	-1131.319601	-4192.14017
OV3756P4	-2612.211022	-1857.838077	-4470.049099
HN3674P6	-2624.866794	-645.9693624	-3270.836156
LU11872P0	-1500.884666	-1939.700243	-3440.584909
LU6440P3	-1739.519204	-1018.280081	-2757.799285
PA1306P2	-3020.712308	-1088.102339	-4108.814646
MC3084P7	-2906.317113	-937.1733287	-3843.490442
LU6421P7	-2788.493753	-2310.032068	-5098.525821
PA3136P6	-3051.938543	-1292.420806	-4344.359349
GA6215P7	-3187.501348	-1433.583154	-4621.084501
KI10114P0	-2303.059884	-815.3469113	-3118.406796
CR6461P13	-3067.236509	-1172.673923	-4239.910432
CR2083P4	-2932.439746	-1284.974303	-4217.414049
SA10138P0	-422.3223852	-1196.387019	-1618.709405
CR9263P3	-3080.360505	-1418.492898	-4498.853403
LU9345P3	-2927.197764	-1018.39909	-3945.596854
LU1380P2	-2919.910682	-1826.36298	-4746.273661
LU11610P5	-2883.334278	-1009.690821	-3893.025099
ME12124P0	-2217.723589	-845.2822128	-3063.005802
CR3469P8	-3014.471722	-1373.194597	-4387.66632
ME12142P1	-2118.709373	-1315.927985	-3434.637358
CR3315P3	-3085.484599	-1174.45601	-4259.940609
SA2466P0	-1781.580287	-1883.325714	-3664.906001
ES0215P1	-475.1351246	-685.3584825	-1160.493607
CR5067P2	-2716.201923	-1039.836034	-3756.037957
CR5091P1	-3135.220445	-1050.90977	-4186.130215
GA15725P5	-2803.275893	-1824.214806	-4627.490699
BR5337P0	-2947.716972	-1653.582698	-4601.29967
LU6277P3	-2968.213557	-688.1452	-3656.358757
LU5370P0	-2790.811108	-781.9491775	-3572.760286
CR9259P2	-3144.277438	-1500.723298	-4645.000737
OV5296P1	-2951.312131	-1307.355799	-4258.66793
LI6643P5	-2316.625297	-1449.243775	-3765.869072
CR2568P7	-3074.0839	-874.606751	-3948.690651
LU11736P0	-3144.224406	-1232.616331	-4376.840736
CR9256P4	-3139.08833	-1123.117302	-4262.205632
LU2527P3	-3126.540438	-1739.215952	-4865.75639
SA10144P0	-1062.361117	-1545.364688	-2607.725805
GA13760P0	-2654.509434	-1974.969065	-4629.478499
OV3596P6	-2765.231027	-825.3313727	-3590.5624
CR2560P5	-3075.41484	-1081.727581	-4157.142422
LI1037P5	-1905.181625	-1005.713681	-2910.895306
CR2179P6	-2922.52154	-1215.267196	-4137.788736
LU5205P1	-2970.395671	-735.6739195	-3706.06959
LU1215P5	-2735.13957	-2229.812564	-4964.952134
SA4103P1	-189.2756548	-1128.687973	-1317.963627
LI6662P4	-3002.410531	-1712.819272	-4715.229802
CR3403P5	-3019.517311	-879.498911	-3899.016222
ME12085P5	-1876.621822	-1399.160259	-3275.782081
BL9211P5	-2161.938287	-892.5559694	-3054.494257
ME12042P1	-2475.756194	-1526.233484	-4001.989678
GA6891P7	-2984.091197	-1420.527204	-4404.618402
GA6882P5	-3072.162145	-1255.676224	-4327.83837
BR9479P5	-2310.296994	-1501.082563	-3811.379556
ME12172P0	-2314.93462	-1754.280961	-4069.215581
GA6822P5	-2789.99639	-1390.240531	-4180.236921
ME12111P4	-2017.162974	-835.7995376	-2852.962512
ME12010P1	-2355.751308	-1447.751803	-3803.503111
HN2572P16	-2947.184417	-1047.808552	-3994.992969
CR6288P3	-2976.238298	-1076.525703	-4052.764001
CR3612P3	-2989.989356	-1001.657614	-3991.646969
GS11334P0	-805.2362347	-900.7612411	-1705.997476
ME2396P5	-2173.521242	-890.8835462	-3064.404788
CR5069P1	-2839.544742	-1131.331887	-3970.876629
CR15766P2	-2872.134217	-1030.597411	-3902.731628
CR14927P3	-3022.951669	-1330.010293	-4352.961962
LU11576P0	-2456.466226	-244.458149	-2700.924375
LU1292P2	-2833.511728	-1642.90919	-4476.420918
CR0588P3	-2963.957836	-1148.180895	-4112.138731
LI5130P2	-1956.024542	-740.2651214	-2696.289664
CR15765P4	-2939.55624	-1124.487061	-4064.043301
OV5299P2	-2836.75033	-1308.710498	-4145.460827
CV3327P3	-3082.622436	-1062.322584	-4144.94502
CR5046P1	-2841.840103	-1247.506656	-4089.346758
GL1208P8	-3036.976313	-1210.995296	-4247.971609
PA9452P3	-2991.195359	-838.4869899	-3829.682349
LU2675P6	-3087.351151	-1212.49729	-4299.848441
GA6885P9	-3156.928165	-1626.524949	-4783.453114
CR6244P3	-2914.382541	-1056.158557	-3970.541098
SA13327P0	-413.7015412	-1887.41273	-2301.114271
GA9275P3	-3057.318461	-1431.433546	-4488.752008
ES11073P0	-2703.549695	-1396.307327	-4099.857021
LI0801P5	-2145.374315	-447.7819633	-2593.156279
LU5220P4	-3012.228257	-2283.886354	-5296.114611
PA6270P6	-3052.233884	-981.0763	-4033.310184
LU11753P0	-2964.520481	-2255.037668	-5219.558149
CV2320P5	-2799.167953	-1567.375506	-4366.543459
GA13765P0	-2894.568351	-1158.250667	-4052.819017
PA3004P8	-2990.841902	-1168.863543	-4159.705445
HN5127P1	-3130.673574	-2359.700175	-5490.373749
LU5250P4	-2849.869396	-2007.032187	-4856.901583
SA10134P0	-1346.8458	-1830.772397	-3177.618196
LI6676P6	-2198.636949	-1261.541905	-3460.178854
PA6245P7	-3083.485552	-921.3919404	-4004.877492
CR2346P7	-2757.138747	-844.3347037	-3601.473451
LU3057P5	-2677.100245	-1685.071795	-4362.172039
LI1074P7	-2782.94799	-1216.311929	-3999.259919
LU2505P4	-2368.423127	-498.3239632	-2866.74709
LU0876P3	-3056.291686	-761.1508582	-3817.442544
PA1367P5	-2845.691944	-819.6622654	-3665.35421
OV0273P5	-2303.986203	-1763.268705	-4067.254908
BR10540P0	-2373.1959	-1870.639551	-4243.83545
SA3224P6	-2109.461796	-1419.915274	-3529.37707
PA2566P9	-2925.210595	-624.3506903	-3549.561285
CR2519P7	-2953.385543	-1193.696301	-4147.081843
PA13022P0	-2734.403513	-745.9990506	-3480.402563
ES0176P5	-2451.116978	-1247.397573	-3698.514551
LU5179P4	-2809.988488	-1996.696585	-4806.685073
PA2454P7	-3076.554126	-900.3407336	-3976.894859
HN5111P1	-2744.838449	-347.7591885	-3092.597637
GA6203P6	-3006.856408	-934.6860164	-3941.542425
