NAME	StromalScore	ImmuneScore	ESTIMATEScore
LU1304P5	-1113.201093	-60.45677103	-1173.657864
CR5053P1	-548.7880757	77.25294705	-471.5351286
OV5383P1	-741.316992	-559.480991	-1300.797983
GA13765P0	0.334948148	1063.805807	1064.140756
LI2813P6	-990.9988233	-322.0892091	-1313.088032
GL6602P5	4.139754524	1500.627935	1504.767689
LY2240P2	385.3952747	3284.168089	3669.563364
CV10058P2	-1165.420924	-152.7018093	-1318.122734
LU5176P1	-328.923268	-201.0315924	-529.9548603
LU11836P0	-922.2391955	-655.4346068	-1577.673802
LU2055P3	-902.6806507	-154.3864304	-1057.067081
CR3612P3	-1644.535655	-284.2520308	-1928.787686
ME12032P0	-643.8867737	80.26598554	-563.6207882
OV5304P1	-1907.418401	-1280.050394	-3187.468795
LU5151P2	229.404969	1405.659484	1635.064453
CR2110P4	-821.2938253	-317.9838221	-1139.277647
ME11977P0	-1405.023722	-1104.242143	-2509.265865
LI15535P1	264.3606663	171.9053593	436.2660257
LU2455P8	-1041.755597	-880.6049794	-1922.360577
CR1281P1	-1967.865919	-698.6734152	-2666.539334
OV15631P0	-2074.36598	-1600.125231	-3674.49121
CR5092P1	-945.8132963	-357.360938	-1303.174234
GS11354P0	-1108.389623	-565.976402	-1674.366025
ME12185P0	-898.9700229	-460.3373631	-1359.307386
OV5294P2	-298.4886334	333.3725145	34.88388115
ME9364P5	-943.079157	-444.843135	-1387.922292
LU5178P3	930.2437288	1721.991027	2652.234756
GA0033P6	-1675.22717	-779.7542018	-2454.981372
LU6913P7	-1139.956908	-306.3983793	-1446.355287
HN2488P0	-302.9620039	131.1191032	-171.8429007
LU11951P0	373.1096239	904.4259825	1277.535606
CR5098P0	-147.5062743	123.9013072	-23.60496705
ES2267P4	-1915.463855	-452.1901099	-2367.653965
CR15766P2	-504.6082026	55.77172408	-448.8364786
SA16056P1	-534.6954102	-65.18070034	-599.8761105
PA1443P4	-979.7117199	-241.0761138	-1220.787834
PA1194P9	-149.3293571	570.6517741	421.322417
LI6663P6	-880.4375187	-104.3385116	-984.7760303
CR2441P3	-273.7315541	432.1108157	158.3792616
BR10027P0	325.9507511	13.83214788	339.782899
BR5484P0	-1047.728385	-659.5014821	-1707.229867
LI6649P10	-957.2478896	-455.7652617	-1413.013151
HN2222P3	-657.7846194	-92.321815	-750.1064344
ME12159P0	-1030.134037	-1088.066702	-2118.200739
CC6604P7	-357.032617	811.6988326	454.6662156
SA10202P0	765.1229641	1155.943517	1921.066481
CR2660P5	-1575.144281	-719.7797248	-2294.924006
LU5238P2	-1866.300026	-1626.780273	-3493.080299
BR5337P0	-174.439736	-470.615255	-645.054991
AL8244P2	-2153.075215	1714.82886	-438.2463543
LU11610P5	988.1799943	1697.276516	2685.45651
ME12158P0	-1492.777585	-836.9666289	-2329.744214
PA1333P7	-88.04496853	1925.279201	1837.234232
LU9356P6	-815.2278819	30.42701604	-784.8008659
PA6228P4	-486.0441398	78.72405371	-407.3200861
PA13037P0	993.5128222	1225.089896	2218.602719
CR2069P6	-1103.881408	-538.0558327	-1641.937241
PA0226P2	-308.1078588	68.86212548	-239.2457333
CR5051P1	-1856.420495	-633.8581094	-2490.278605
SA10139P0	-298.9777414	-626.3201308	-925.2978722
CC6658P5	-736.7785591	104.957658	-631.8209011
ES0136P3	-1732.31821	-1039.984488	-2772.302698
LU2042P11	-1517.535056	-563.4057981	-2080.940854
MC6624P6	-1393.77569	-726.3310489	-2120.106739
KI10104P0	404.5317206	1548.004607	1952.536327
PA2450P5	-27.04011114	635.5181652	608.4780541
CR2568P7	-1277.772204	-138.5005702	-1416.272774
GA0060P4	-566.6332699	-24.81396562	-591.4472355
LY12962P1	-712.4380985	1868.213407	1155.775308
PA1168P7	-471.3803186	-41.0498865	-512.4302051
LU5215P2	-2051.001721	-1767.340293	-3818.342014
LU0387P6	-1767.752973	-1125.932471	-2893.685444
GA6283P4	-661.0043214	-233.6129237	-894.6172451
OV5301P1	-725.7843447	-248.5756726	-974.3600172
SA13327P3	-296.4329923	-1254.170431	-1550.603423
CR3813P2	-401.7445971	12.61408052	-389.1305166
MC3359P3	-474.3116258	-449.6197216	-923.9313474
GA3055P2	-1267.054521	-570.1919137	-1837.246435
HN3173P6	-1089.881269	-751.0597962	-1840.941065
GA0099P4	37.9014407	832.9285061	870.8299468
GA6843P9	-1763.736985	-446.3696812	-2210.106666
LU6419P2	-868.2232827	-296.9659426	-1165.189225
LU11775P0	-412.8957805	16.51651692	-396.3792636
LU2675P6	-895.4593461	-204.4927367	-1099.952083
SA10244P0	777.6282326	391.4917179	1169.11995
LU0741P5	-1165.748725	-684.62684	-1850.375565
LI6723P4	-1165.418956	-302.0213966	-1467.440353
MC3416P3	131.3648205	158.8612888	290.2261093
GA6209P5	-1095.682034	-863.780862	-1959.462896
LU6437P3	-1311.891446	-455.1281825	-1767.019629
CR6689P4	-1545.517334	-535.7371309	-2081.254465
PA13040P0	-144.0439677	340.3307024	196.2867347
CR3150P5	-793.864039	-246.0972915	-1039.961331
LU2445P10	379.8168081	130.1684624	509.9852705
CR1451P3	-976.1006359	-299.0257447	-1275.126381
CR6461P13	-1354.519151	-197.3862204	-1551.905371
GA3055P3	-1328.010659	-461.2721284	-1789.282787
LU5195P1	-1080.218093	-1089.116804	-2169.334897
BR10028P0	-1497.756861	-1097.253272	-2595.010133
MC3464P7	-592.7166388	54.07578011	-538.6408587
GA3102P5	-1185.643894	-323.7805054	-1509.424399
CR1489P10	-248.8452376	542.8978658	294.0526282
CR2849P9	-1660.159739	-587.9058273	-2248.065566
CR5065P0	-622.9395125	-384.052512	-1006.992025
LU2535P5	235.9480775	1931.837137	2167.785214
ES0199P5	-869.645323	-494.9763313	-1364.621654
SA10233P0	-888.4539827	-559.5244835	-1447.978466
CR5085P0	-802.5834587	-103.3165892	-905.9000479
CR15339P3	-537.4347593	-134.0309787	-671.4657381
LU2527P3	-1606.671214	-1151.23976	-2757.910974
LY2390P7	-591.6917194	2089.058486	1497.366766
BL5384P1	-2087.561497	-973.6448737	-3061.206371
ME13974P1	-1124.066061	-582.5410916	-1706.607152
LU5228P3	-2232.5995	-1733.188707	-3965.788207
BN6304P4	305.4505626	-135.9211068	169.5294557
