NAME	StromalScore	ImmuneScore	ESTIMATEScore
ME12055P0	1892.540117	2324.187121	4216.727238
CR3825P1	1848.848522	1758.313268	3607.16179
SA10175P0	887.2207819	1570.999967	2458.220749
ME12070P1	1747.793866	1803.865701	3551.659567
SA13543P0	2040.012655	1673.262683	3713.275338
CR2832P8	1612.726399	2292.069619	3904.796018
PA6261P5	1710.897945	1738.962374	3449.860319
OV5295P1	1729.097809	2124.133936	3853.231746
UT5326P1	1778.831714	2074.789414	3853.621128
BR5009P2	1832.987954	1960.784207	3793.772161
LI0050P7	1682.763132	1893.299764	3576.062897
LI5133P2	1550.080983	2478.014063	4028.095046
GL0608P4	1635.298079	2138.937143	3774.235222
PA2450P5	1696.893527	1898.405915	3595.299442
AL7188P1	112.8533472	2777.30235	2890.155697
LU2417P10	1829.010451	1790.078035	3619.088487
CR5098P0	1812.059054	1790.614532	3602.673586
LY3161P5	1419.676371	2756.757968	4176.43434
CR3813P2	1943.951807	1939.574895	3883.526702
CR15399P4	1362.222861	1082.152103	2444.374963
ME14010P1	1537.426631	1614.950655	3152.377286
LU5160P2	1789.731052	1952.310776	3742.041828
LU2514P5	1912.309715	1708.082552	3620.392267
KI10104P0	1936.978223	2175.53278	4112.511003
MU12603P0	1805.821902	2211.333908	4017.15581
CR3308P8	1873.119896	1795.485544	3668.605441
PA1367P5	1665.165714	2252.615714	3917.781428
BR5023P0	762.8929864	2054.916766	2817.809752
LU11584P5	1709.512555	2236.244366	3945.75692
CR6287P3	1911.449579	2651.022306	4562.471885
AL7119P2	-145.6276283	1420.084063	1274.456434
CR5048P2	1472.539786	1980.484217	3453.024003
BR10593P0	1678.899531	2028.927634	3707.827165
XX2495P4	1719.922922	2236.159901	3956.082823
ME5338P1	1471.945368	1614.41534	3086.360708
GA2269P9	1331.527517	3089.872979	4421.400496
PA2231P6	1394.598369	1103.250383	2497.848752
SA13276P4	1586.024579	2272.91488	3858.939459
GA0429P9	1553.482942	1509.237286	3062.720228
