TestSample	MouseRatio_Chip	MouseRatio_RNAseq	MouseRatio_WES	TestModel	mouse_strain	mouse_strain_by_chip	SomaticMutations	StromalScore	ImmuneScore	ESTIMATEScore	StromalScore_human	ImmuneScore_human	ESTIMATEScore_human
KI9310P4	2.6	2.63	0.49	KI9310	NOD.SCID	NOD/SCID;	431	-2013.433339	-990.2421411	-3003.67548	-2845.405698	-1735.992863	-4581.39856
CR9264P5	2.7	3.09	0.5	CR9264	NOD.SCID	NOD/SCID;	477	-1595.685896	-1022.409174	-2618.09507	-2878.937737	-1705.65834	-4584.596077
OV9402P3	3.3	2.32	0.57	OV9402	NOD.SCID	NOD/SCID;	313	-1936.958878	-1020.314532	-2957.27341	-2539.919261	-1854.122426	-4394.041686
BN6303P3	3	1.93	0.59	BN6303	NOD.SCID	NOD/SCID;	518	-1812.874191	-1471.395631	-3284.269822	-2291.344046	-2248.032848	-4539.376893
ME9370P5	3.2	1.08	0.67	ME9370	NOD.SCID	NOD/SCID;	434	-1565.343919	-913.8780261	-2479.221945	-1838.736791	-1326.261684	-3164.998475
SA13121P1	3.8	3.16	0.68	SA13121	NOD.SCID	NOD/SCID;	404	-724.4363091	22.74300211	-701.693307	-1376.299803	-710.0610868	-2086.360889
CR2285P9	3.1	2.28	0.73	CR2285	NOD.SCID	NOD/SCID;	463	-2020.186122	-892.3148308	-2912.500953	-3035.21882	-1490.609198	-4525.828018
BL9209P2	4.8	4.37	0.77	BL9209	NOD.SCID	NOD/SCID;	590	-1101.982045	-596.7127118	-1698.694757	-2501.176011	-1631.792784	-4132.968795
LU6940P10	5	9.5	0.8	LU6940	NOD.SCID	NOD/SCID;	542	-1003.990361	-1233.060911	-2237.051272	-2783.116236	-2274.680178	-5057.796415
SA4098P1	4.5	2.5	0.85	SA4098	NOD.SCID	NOD/SCID;	583	-1293.346485	-1647.714285	-2941.06077	-1838.535759	-2238.993174	-4077.528933
ME9374P2	6.4	4.49	0.91	ME9374	NOD.SCID	NOD/SCID;	2058	-1263.137185	-628.3277129	-1891.464897	-2481.332696	-1603.639811	-4084.972507
LU9351P4	6.3	4.53	0.99	LU9351	NA	NOD/SCID;	667	-1390.477253	-712.7438619	-2103.221115	-2737.289886	-1542.596199	-4279.886085
CR2857P5	6.2	4.28	1.04	CR2857	NOD.SCID	NOD/SCID;	543	-1304.045641	-598.7923898	-1902.838031	-2548.457411	-1416.919744	-3965.377155
