NAME	Cancer	StromalScore	ImmuneScore	ESTIMATEScore
LU5176P1	LUAD	-328.923268	-201.0315924	-529.9548603
LU5151P2	LUAD	229.404969	1405.659484	1635.064453
LU2455P8	LUAD	-1041.755597	-880.6049794	-1922.360577
LU0387P6	LUAD	-1767.752973	-1125.932471	-2893.685444
LU2535P5	LUAD	235.9480775	1931.837137	2167.785214
LU1380P2	LUAD	-1573.605688	-1092.047008	-2665.652696
LU5153P3	LUAD	-935.4840493	-169.735253	-1105.219302
LU1235P5	LUAD	-1352.598799	-232.5819815	-1585.180781
LU9328P3	LUAD	-898.4448673	-413.361414	-1311.806281
LU5155P3	LUAD	-748.4301786	27.71931412	-720.7108644
LU5204P1	LUAD	593.1939368	904.1754663	1497.369403
LU5165P1	LUAD	-504.4248697	-442.8882017	-947.3130714
LU5260P1	LUAD	103.238476	662.1454511	765.3839271
LU6412P6	LUAD	-1454.601959	-663.2820402	-2117.883999
LU5152P3	LUAD	-1262.181079	-540.4546657	-1802.635745
LU5221P1	LUAD	-417.882306	-586.4856671	-1004.367973
LU5205P1	LUAD	-446.7184233	404.4679548	-42.25046854
LU5157P2	LUAD	-1043.860111	-76.98068108	-1120.840792
LU6424P12	LUAD	-200.9984453	619.0172191	418.0187738
LU2505P4	LUAD	-796.0245938	877.1271174	81.10252354
LU2403P4	LUAD	-245.848387	136.526415	-109.3219721
LU5162P2	LUAD	-1275.96349	-647.4487888	-1923.412279
LU2539P9	LUAD	238.4873633	2671.738147	2910.22551
LU5240P0	LUAD	-638.9301481	449.9503558	-188.9797923
LU5252P1	LUAD	-283.5079469	232.0093284	-51.49861848
LU1215P5	LUAD	-1425.398147	-1519.429335	-2944.827481
LU11882P0	LUAD	-1131.44073	-462.907676	-1594.348407
LU2038P7	LUAD	-433.2482148	48.13469653	-385.1135183
LU6424P6	LUAD	-129.7844289	67.52834968	-62.2560792
LU2049P6	LUAD	-706.5622746	-178.3362422	-884.8985168
LU6405P4	LUAD	-1923.29685	-572.782093	-2496.078943
LU11606P1	LUAD	-1356.521244	230.970392	-1125.550852
LU6918P7	LUAD	-1117.760633	-235.0868151	-1352.847449
LU2503P4	LUAD	-937.2674126	183.0845768	-754.1828359
LU0377P5	LUAD	-1277.569342	-512.5402485	-1790.10959
LU6922P8	LUAD	-1355.319527	-422.1886822	-1777.50821
LU6427P11	LUAD	-706.7807006	-404.9341294	-1111.71483
LU2555P6	LUAD	251.2016944	390.0514788	641.2531732
LU6904P6	LUAD	142.584286	900.0373824	1042.621668
LU5160P2	LUAD	-778.4175404	-184.657241	-963.0747814
LU9345P3	LUAD	-1010.440934	-306.5936321	-1317.034566
LU2503P3	LUAD	-1075.489834	10.47753468	-1065.0123
LU6442P1	LUAD	-443.403695	-569.4199283	-1012.823623
LU1147P3	LUAD	-1565.216799	-528.8627519	-2094.079551
LU6410P5	LUAD	-191.8137277	311.7381108	119.9243831
LU5237P1	LUAD	-816.8589776	-118.6127891	-935.4717667
LU5268P1	LUAD	-1545.051952	-717.1227892	-2262.174741
LU6425P2	LUAD	-745.9093348	79.34277269	-666.5665621
LU2512P5	LUAD	-26.68973486	766.4780466	739.7883117
LU3133P5	LUAD	-1187.79494	15.33973034	-1172.45521
LU9359P3	LUAD	-107.9929087	159.2741948	51.28128613
LU6912P6	LUAD	-1428.814332	-527.2732456	-1956.087577
LU5211P4	LUAD	-1395.929891	-493.9305488	-1889.860439
LU1452P3	LUAD	247.8331731	500.8015053	748.6346784
LU6414P8	LUAD	-1026.222267	-594.3528707	-1620.575137
LU2033P6	LUAD	-789.0997767	-719.3815045	-1508.481281
LU11631P1	LUAD	-466.7406231	656.593949	189.8533259
LU3057P5	LUAD	-733.6538228	-461.9256549	-1195.579478
LU6422P3	LUAD	-758.1164398	-124.0658755	-882.1823153
LU5150P3	LUAD	-982.4638091	-587.5181725	-1569.981982
LU2055P3	LUSC	-902.6806507	-154.3864304	-1057.067081
LU6913P7	LUSC	-1139.956908	-306.3983793	-1446.355287
LU9356P6	LUSC	-815.2278819	30.42701604	-784.8008659
LU2042P11	LUSC	-1517.535056	-563.4057981	-2080.940854
LU6419P2	LUSC	-868.2232827	-296.9659426	-1165.189225
LU0741P5	LUSC	-1165.748725	-684.62684	-1850.375565
LU6437P3	LUSC	-1311.891446	-455.1281825	-1767.019629
LU1775P2	LUSC	-1184.462452	-24.87766178	-1209.340114
LU0743P5	LUSC	-1633.04545	-1231.115846	-2864.161296
LU5185P9	LUSC	-214.9436781	214.6626298	-0.281048308
LU1206P6	LUSC	-1652.199925	-259.2994382	-1911.499363
LU1423P3	LUSC	-1786.733636	-1225.298325	-3012.031961
LU6901P6	LUSC	-1274.063656	130.6909393	-1143.372717
LU2804P0	LUSC	-24.04013621	640.9234564	616.8833202
LU6436P5	LUSC	-149.3996751	360.6390623	211.2393872
LU6307P4	LUSC	-679.4100292	-298.26741	-977.6774392
LU6431P4	LUSC	-1123.712491	-600.9321472	-1724.644638
LU9333P4	LUSC	-834.6854522	-336.3190038	-1171.004456
LU1828P2	LUSC	-759.659323	-49.45312507	-809.1124481
LU6433P4	LUSC	-1306.513409	-402.2876433	-1708.801052
LU6402P4	LUSC	-2588.845406	-865.7057559	-3454.551162
LU9358P5	LUSC	-415.7398378	39.53785736	-376.2019804
LU9331P3	LUSC	-964.8722358	-158.7621387	-1123.634375
LU5149P1	LUSC	-1468.925322	-748.0252785	-2216.9506
LU6914P7	LUSC	-1366.813699	-924.1436438	-2290.957343
LU6416P4	LUSC	-827.9804725	-640.9409851	-1468.921458
LU1302P4	LUSC	-1301.901353	199.1108621	-1102.790491
LU1776P3	LUSC	-729.2801726	-109.6975746	-838.9777473
LU6484P2	LUSC	-354.6303786	-207.6893996	-562.3197783
LU1258P5	LUSC	-910.0580357	-399.1797198	-1309.237756
LU0884P9	LUSC	-1425.875911	-715.958493	-2141.834404
LU0861P6	LUSC	-1331.927894	-725.701675	-2057.629569
LU5147P3	LUSC	-1657.627451	-457.6430204	-2115.270472
LU1143P9	LUSC	-595.7149188	-412.9417966	-1008.656715
LU6439P4	LUSC	-1013.27591	-234.4501261	-1247.726036
LU5161P2	LUSC	-1685.493668	-535.2567234	-2220.750391
LU6920P9	LUSC	-619.9780923	949.4640419	329.4859496
LU6471P6	LUSC	-1106.434749	-464.3241842	-1570.758933
LU6923P8	LUSC	-1172.508369	-442.3845851	-1614.892954
LU6411P26	LUSC	-1216.144771	-711.0514966	-1927.196267
LU0357P6	LUSC	-1775.421557	-623.6035344	-2399.025091
LU6479P12	LUSC	58.6943175	1290.209764	1348.904082
LU1256P5	LUSC	-1578.720289	-804.836334	-2383.556623
LU1116P3	LUSC	-525.8540656	284.9618756	-240.89219
LU0038P5	LUSC	-1362.387643	-819.5967327	-2181.984376
LU1155P1	LUSC	-2364.860589	-1391.360676	-3756.221265
