SampleName	Model	TumorPurity	ValidSNP	TumorVolume	StromalScore	ImmuneScore	ESTIMATEScore
4T1-1	4T1	0.836	66	500	129.0883224	1365.860677	1494.948999
4T1-2	4T1	0.847	65	500	85.32604895	1175.57	1260.896049
4T1-3	4T1	0.843	58	500	222.9271637	1379.95568	1602.882843
4T1-4	4T1	0.786	62	500	96.40573354	1633.819558	1730.225291
4T1-5	4T1	0.824	65	500	276.4472039	1361.327378	1637.774582
A20-1	A20	0.934	338	500	-1095.109303	1573.11468	478.0053774
A20-2	A20	0.921	333	500	-1074.365124	1588.176033	513.8109091
A20-3	A20	0.885	352	500	-858.6325702	1787.568376	928.9358058
A20-4	A20	0.936	333	500	-1061.170675	1536.976641	475.8059661
A20-5	A20	0.9	341	500	-856.2786205	1733.774889	877.4962684
B16BL6-1	B16BL6	0.963	608	500	-1088.415538	-520.6185669	-1609.034105
B16BL6-2	B16BL6	0.981	604	500	-1372.070685	-549.6185684	-1921.689253
B16BL6-3	B16BL6	0.933	608	500	-624.898756	-226.5664938	-851.4652498
B16BL6-4	B16BL6	0.966	613	500	-939.3380285	-498.3341436	-1437.672172
B16BL6-5	B16BL6	0.922	607	500	-632.6492665	-308.612595	-941.2618615
B16F10-1	B16F10	0.961	566	500	-1776.927977	-1137.02913	-2913.957107
B16F10-2	B16F10	0.94	540	500	-1579.964538	-1076.992172	-2656.95671
B16F10-3	B16F10	0.943	397	500	-1535.177467	-911.220058	-2446.397525
B16F10-4	B16F10	0.931	502	500	-1188.390381	-793.36248	-1981.752861
B16F10-5	B16F10	0.974	499	500	-1887.1653	-1106.543739	-2993.709039
Colon26-1	Colon26	0.916	858	500	-106.9530711	457.4431006	350.4900294
Colon26-2	Colon26	0.894	845	500	18.53168022	539.9077349	558.4394151
Colon26-3	Colon26	0.948	825	500	-422.608012	112.0303462	-310.5776657
Colon26-4	Colon26	0.943	854	500	-370.5955994	480.355068	109.7594686
Colon26-5	Colon26	0.947	834	500	-298.3636513	186.8957928	-111.4678585
CT26-1	CT26	0.882	1112	500	-157.0074248	1147.668905	990.6614804
CT26-2	CT26	0.905	1082	500	-259.6952428	1063.201673	803.5064306
CT26-3	CT26	0.813	920	500	118.5670768	1783.630705	1902.197782
CT26-4	CT26	0.912	1113	500	-236.0847596	1044.609458	808.5246986
CT26-5	CT26	0.798	1080	500	251.7957981	1346.342682	1598.13848
EG7OVA-1	EG7OVA	0.94	638	500	-677.1469866	1774.992271	1097.845285
EG7OVA-2	EG7OVA	0.945	906	500	-718.8944554	1639.414557	920.5201013
EG7OVA-3	EG7OVA	0.906	655	500	-511.4545087	1553.753726	1042.299217
EG7OVA-4	EG7OVA	0.896	861	500	-256.2043286	1888.525084	1632.320755
EG7OVA-5	EG7OVA	0.903	690	500	-291.1395341	1764.58201	1473.442476
EL4-1	EL4	0.897	977	500	-519.8546958	1803.965146	1284.110451
EL4-2	EL4	0.903	911	500	-542.0072016	1750.437289	1208.430088
EL4-3	EL4	0.876	1013	500	-471.3578043	1670.791031	1199.433227
EL4-4	EL4	0.894	1027	500	-618.5025191	1661.882978	1043.380458
EL4-5	EL4	0.895	960	500	-605.7992847	1799.99123	1194.191945
EMT6-1	EMT6	0.73	224	500	169.5989393	1919.231673	2088.830612
EMT6-2	EMT6	0.836	220	500	-98.33107007	1312.167073	1213.836003
EMT6-3	EMT6	0.87	225	500	-331.8244757	1526.515496	1194.69102
EMT6-4	EMT6	0.806	223	500	76.70195533	1696.029293	1772.731249
EMT6-5	EMT6	0.59	237	500	502.4959556	2458.404603	2960.900559
H22-1	H22	0.966	4771	500	-1032.768314	116.7523176	-916.0159964
H22-2	H22	0.953	3778	500	-920.8744228	103.0654689	-817.8089539
H22-3	H22	0.963	4773	500	-1298.293984	155.0114728	-1143.282511
H22-4	H22	0.94	3503	500	-997.7429127	280.7278868	-717.015026
H22-5	H22	0.899	4154	500	-413.4726631	747.5738768	334.1012137
J558-1	J558	0.96	74	500	-790.0966275	859.6063727	69.50974515
J558-2	J558	0.973	74	500	-746.3615796	820.1848881	73.82330849
J558-3	J558	0.952	75	500	-636.7027383	918.5888197	281.8860813
J558-4	J558	0.965	70	500	-840.3553417	786.1692317	-54.18610999
J558-5	J558	0.954	73	500	-906.5025412	668.3254462	-238.177095
KLN205-1	KLN205	0.964	661	500	-1618.789162	-297.4925986	-1916.281761
KLN205-2	KLN205	0.963	321	500	-1454.03255	-216.7749004	-1670.807451
KLN205-3	KLN205	0.972	628	500	-1535.11542	-209.4335217	-1744.548942
KLN205-4	KLN205	0.889	629	500	-698.465594	183.4203898	-515.0452043
KLN205-5	KLN205	0.865	199	500	-894.0284427	333.8225281	-560.2059145
LL2-1	LL2	0.784	1936	500	-345.6143344	1030.270698	684.6563632
LL2-2	LL2	0.817	1956	500	-528.7148685	928.0746755	399.359807
LL2-3	LL2	0.828	1822	500	-352.0248482	995.2318392	643.206991
LL2-4	LL2	0.811	1895	500	-478.3928894	1154.464365	676.0714753
LL2-5	LL2	0.819	1850	500	-532.8684867	818.2866962	285.4182096
MBT2-1	MBT2	0.746	1288	500	-45.14736053	1945.633336	1900.485976
MBT2-2	MBT2	0.796	1267	500	-55.18100709	1391.120844	1335.939837
MBT2-3	MBT2	0.769	1173	500	-0.755962044	1725.036939	1724.280977
MBT2-4	MBT2	0.844	1266	500	-249.1540414	1294.381334	1045.227293
MBT2-5	MBT2	0.787	1245	500	-97.29327208	1558.260985	1460.967713
MC38-1	MC38	0.878	1800	500	-278.4638662	752.2973933	473.833527
MC38-2	MC38	0.88	1753	500	-345.0206503	915.2049147	570.1842645
MC38-3	MC38	0.894	1830	500	-314.0097499	889.2738888	575.2641389
MC38-4	MC38	0.886	1804	500	-302.0449698	1013.309253	711.2642837
MC38-5	MC38	0.878	1796	500	-315.9447085	984.1170589	668.1723504
Pan02-1	Pan02	0.721	218	500	652.1094109	1450.772112	2102.881523
Pan02-2	Pan02	0.78	215	500	432.9973169	1301.425429	1734.422746
Pan02-3	Pan02	0.85	257	500	201.7982648	1423.548743	1625.347008
Pan02-4	Pan02	0.838	227	500	328.0300457	1291.985335	1620.015381
Pan02-5	Pan02	0.764	229	500	417.4796046	1055.451161	1472.930765
Renca-1	Renca	0.848	702	500	-398.6159917	747.6460192	349.0300276
Renca-2	Renca	0.867	692	500	-626.7963665	814.0773307	187.2809642
Renca-3	Renca	0.839	707	500	-378.7582796	907.4229838	528.6647042
Renca-4	Renca	0.835	677	500	-303.753146	592.3877449	288.6345989
Renca-5	Renca	0.891	698	500	-725.5556626	436.752135	-288.8035276
RM1-1	RM1	0.884	63	500	-625.8339005	912.8466712	287.0127707
RM1-2	RM1	0.858	70	500	-613.5349041	1531.621287	918.0863833
RM1-3	RM1	0.872	66	500	-358.7898768	982.2519722	623.4620954
RM1-4	RM1	0.843	59	500	-422.8207942	1355.267756	932.4469621
RM1-5	RM1	0.9	63	500	-735.2107903	909.0643718	173.8535814
WEHI164-1	WEHI164	0.841	1057	500	-280.9287502	1317.121134	1036.192384
WEHI164-2	WEHI164	0.854	966	500	-387.308841	1244.091298	856.7824568
WEHI164-3	WEHI164	0.834	727	500	-242.3170247	1429.24132	1186.924295
WEHI164-4	WEHI164	0.802	965	500	-145.689008	1631.826076	1486.137068
WEHI164-5	WEHI164	0.774	1054	500	24.37524514	1876.406361	1900.781606
